instance_id,original_prompt,true_answer,actual_predicted_answer,concept,true_entities,predicted_entities,macro_weighted_precision,macro_weighted_recall,macro_weighted_f1
1_0, , , ,coffee cup cake mixes,"AG.01.ad
AG.01.ag
AG.01.ak.02.a
AG.01.n.13
AG.01.y.01.a","AG.01.ad
AG.01.ag
AG.01.ak.02.a
AG.01.n.13
AG.01.y.01.a", , , 
1_1, , , ,brandy,AG.01.y.01.e,AG.01.y.01.e, , , 
1_2, , , ,sparkling cider,"AG.01.y.01
AG.01.y.01.c","AG.01.y.01
AG.01.y.01.c", , , 
1_3, , , ,granola,AG.01.n.10,AG.01.n.10, , , 
1_4, , , ,vegan mayonnaise,"AG.01.l.04
AG.01.n.01
AG.01.x.01","AG.01.l.04
AG.01.n.01
AG.01.x.01", , , 
1_5, , , ,mango,"AE.10.g
AF.20
AF.20.b","AE.10.g
AF.20
AF.20.b", , , 
1_6, , , ,vegetarian ground beef substitute,"AG.01
AG.01.c
AG.01.d.03
AG.01.x.01","AG.01
AG.01.c
AG.01.d.03
AG.01.x.01", , , 
1_7, , , ,eggs,AG.01.g,AG.01.g, , , 
1_8, , , ,dry pudding mix,"AG.01.m
AG.01.n.03","AG.01
AG.01.n.03", , , 
2,"Would you be able to provide links to the Hansard taxonomy for these entities: eggs, frozen lemonade, cream cheese mixture, gin, leaves, kosher salt, bouillon, water, capers ?","Definitely, the entities are linked in this fashion:  eggs -  AG.01.g [Eggs], frozen lemonade -  AG.01.aa [Aerated/carbonated drink];AG.01.ab [Fruit juice/squash];AG.01.t.06 [Preserving/pickling], cream cheese mixture -  AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], gin -  AG.01.y.01.f [Gin], leaves -  AF.10.e [Leaf], kosher salt -  AG.01.a [Qualities of food];AG.01.l.01 [Salt];AG.01.w [Setting table], bouillon -  AG.01.n.02 [Soup/pottage], water -  AG.01.z [Water], capers -  AE.14.j.04 [Habits and actions of horse];AF.13 [Particular tree/shrub].","Of course, the entities are bonded accordingly: eggs - AG.01.g [Eggs], frozen lemonade - AG.01.aa [Aerated/carbonated drink];AG.01.ab [Fruit juice/squash];AG.01.t.06 [Preserving/pickling], cream cheese mixture - AG.01.e [Dairy produce];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve], gin - AG.01.y.01.f [Gin], leaves - AF.10.e [Leaf], kosher salt - AG.01.a [Qualities of food];AG.01.l.01 [Salt];AG.01.w [Setting table], bouillon - AG.01.n.02 [Soup/pottage], water - AG.01.z [Water], capers - AE.14.j.04 [Habits and actions of horse];AF.13 [Particular tree/shrub].", , , ,1.000,1.000,1.000
2_0, , , ,eggs,AG.01.g,AG.01.g, , , 
2_1, , , ,frozen lemonade,"AG.01.aa
AG.01.ab
AG.01.t.06","AG.01.aa
AG.01.ab
AG.01.t.06", , , 
2_2, , , ,cream cheese mixture,"AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18","AG.01.e
AG.01.e.02
AG.01.n
AG.01.n.18", , , 
2_3, , , ,gin,AG.01.y.01.f,AG.01.y.01.f, , , 
2_4, , , ,leaves,AF.10.e,AF.10.e, , , 
2_5, , , ,kosher salt,"AG.01.a
AG.01.l.01
AG.01.w","AG.01.a
AG.01.l.01
AG.01.w", , , 
2_6, , , ,bouillon,AG.01.n.02,AG.01.n.02, , , 
2_7, , , ,water,AG.01.z,AG.01.z, , , 
2_8, , , ,capers,"AE.14.j.04
AF.13","AE.14.j.04
AF.13", , , 
3,"I request links to the Hansard taxonomy for the entities mentioned: sprig, peppermint extract, mahi mahi, crumbles, meatballs, gin, cole slaw, peppermint extract, loaf ?","Absolutely, the entities are related appropriately:  sprig -  AF.10.b [Shoot/sprout/branch], peppermint extract -  AF.13.c [Non-British trees/shrubs];AF.21 [Particular medicinal/food plants/parts];AF.26 [Plant/nut/bean yielding oil], mahi mahi -  AE.10 [Fish], crumbles -  AG.01.n.08 [Prepared fruit and dishes], meatballs -  AG.01 [Food], gin -  AG.01.y.01.f [Gin], cole slaw -  AG.01.h.02.d [Cabbage/kale];AG.01.n.02 [Soup/pottage];AG.01.n.09 [Prepared vegetables and dishes], peppermint extract -  AF.13.c [Non-British trees/shrubs];AF.21 [Particular medicinal/food plants/parts];AF.26 [Plant/nut/bean yielding oil], loaf -  AG.01.n.06 [Meat dishes];AG.01.n.11 [Bread].","Absolutely, the entities are related properly: sprig - AF.10.b [Shoot/sprout/branch], peppermint extract - AF.13.c [Non-British trees/shrubs];AF.21 [Particular medicinal/food plants/parts];AF.26 [Plant/nut/bean yielding oil], mahi mahi - AE.10 [Fish], crumbles - AG.01.n.08 [Prepared fruit and dishes], meatballs - AG.01.p [Amounts of food], gin - AG.01.y.01.f [Gin], cole slaw - AG.01.h.02.d [Cabbage/kale];AG.01.n.02 [Soup/pottage];AG.01.n.09 [Prepared vegetables and dishes], peppermint extract - AF.13.c [Non-British trees/shrubs];AF.21 [Particular medicinal/food plants/parts];AF.26 [Plant/nut/bean yielding oil], loaf - AG.01.n.06 [Meat dishes];AG.01.n.11 [Bread].", , , ,0.923,0.923,0.923
3_0, , , ,sprig,AF.10.b,AF.10.b, , , 
3_1, , , ,peppermint extract,"AF.13.c
AF.21
AF.26","AF.13.c
AF.21
AF.26", , , 
3_2, , , ,mahi mahi,AE.10,AE.10, , , 
3_3, , , ,crumbles,AG.01.n.08,AG.01.n.08, , , 
3_4, , , ,meatballs,AG.01,AG.01.p, , , 
3_5, , , ,gin,AG.01.y.01.f,AG.01.y.01.f, , , 
3_6, , , ,cole slaw,"AG.01.h.02.d
AG.01.n.02
AG.01.n.09","AG.01.h.02.d
AG.01.n.02
AG.01.n.09", , , 
3_7, , , ,loaf,"AG.01.n.06
AG.01.n.11","AG.01.n.06
AG.01.n.11", , , 
4,"Could you provide links to the Hansard taxonomy for these entities: pistachios, tartar, hot tea, jelly, coffee cup cake mixes, peppermint extract, rosemary, cinnamon stick, cocktail ?","Indeed, the entities are united in this way:  pistachios -  AF.20.c [Edible nuts/nut-trees], tartar -  AG.01.ae.01 [Wine-making];AG.01.ae.03 [Brewing], hot tea -  AG.01 [Food];AG.01.ac [Tea];AG.01.af [Tea manufacture];AG.01.r [Meal], jelly -  AG.01.n.04 [Jelly];AG.01.w [Setting table], coffee cup cake mixes -  AG.01.ad [Coffee];AG.01.ag [Coffee manufacture];AG.01.ak.02.a [Excess in drinking];AG.01.n.13 [Cake];AG.01.y.01.a [Wine], peppermint extract -  AF.13.c [Non-British trees/shrubs];AF.21 [Particular medicinal/food plants/parts];AF.26 [Plant/nut/bean yielding oil], rosemary -  AF.28 [Fragrant plants/plants used in perfumery], cinnamon stick -  AG.01.l.03 [Spice], cocktail -  AG.01.y.01.g [Cocktail].","Absolutely, the entities are related in the following way: pistachios - AF.20.c [Edible nuts/nut-trees], tartar - AG.01.ae.01 [Wine-making];AG.01.ae.03 [Brewing], hot tea - AG.01 [Food];AG.01.ac [Tea];AG.01.af [Tea manufacture];AG.01.r [Meal], jelly - AG.01.n.04 [Jelly], coffee cup cake mixes - AG.01.ad [Coffee];AG.01.ag [Coffee manufacture];AG.01.ak.02.a [Excess in drinking];AG.01.n.13 [Cake];AG.01.y.01.a [Wine], peppermint extract - AF.13.c [Non-British trees/shrubs];AF.21 [Particular medicinal/food plants/parts];AF.26 [Plant/nut/bean yielding oil], rosemary - AF.28 [Fragrant plants/plants used in perfumery], cinnamon stick - AG.01.l.03 [Spice], cocktail - AG.01.y.01.g [Cocktail].", , , ,0.950,0.950,0.950
4_0, , , ,pistachios,AF.20.c,AF.20.c, , , 
4_1, , , ,tartar,"AG.01.ae.01
AG.01.ae.03","AG.01.ae.01
AG.01.ae.03", , , 
4_2, , , ,hot tea,"AG.01
AG.01.ac
AG.01.af
AG.01.r","AG.01
AG.01.ac
AG.01.af
AG.01.r", , , 
4_3, , , ,jelly,"AG.01.n.04
AG.01.w",AG.01.n.04, , , 
4_4, , , ,coffee cup cake mixes,"AG.01.ad
AG.01.ag
AG.01.ak.02.a
AG.01.n.13
AG.01.y.01.a","AG.01.ad
AG.01.ag
AG.01.ak.02.a
AG.01.n.13
AG.01.y.01.a", , , 
4_5, , , ,peppermint extract,"AF.13.c
AF.21
AF.26","AF.13.c
AF.21
AF.26", , , 
4_6, , , ,rosemary,AF.28,AF.28, , , 
4_7, , , ,cinnamon stick,AG.01.l.03,AG.01.l.03, , , 
4_8, , , ,cocktail,AG.01.y.01.g,AG.01.y.01.g, , , 
5,"Could you kindly provide links to the Hansard taxonomy for these entities outlined: barbecue sauce, curry paste, rosemary sprig, brandy, cold brew concentrate, lentils, bird, blackberry mixture, wings ?","Of course, the entities are bonded accordingly:  barbecue sauce -  AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing];AG.01.r.04 [Picnic/packed meal];AG.01.t.08 [Equipment for food preparation], curry paste -  AG.01.n.01 [Food by way of preparation], rosemary sprig -  AF.10.b [Shoot/sprout/branch];AF.28 [Fragrant plants/plants used in perfumery], brandy -  AG.01.y.01.e [Brandy], cold brew concentrate -  AG.01.ae.03 [Brewing], lentils -  AG.01.h.02.g [Pulse], bird -  AE.13 [Class Aves (birds)], blackberry mixture -  AG.01.h.01.b [Berry], wings -  AE.07.b [Body and limbs].","Absolutely, the entities are related accordingly: barbecue sauce - AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing];AG.01.r.04 [Picnic/packed meal];AG.01.t.08 [Equipment for food preparation], curry paste - AG.01.l [Additive];AG.01.l.03 [Spice];AG.01.n.01 [Food by way of preparation];AG.01.n.17 [Confections/sweetmeats], rosemary sprig - AF.10.b [Shoot/sprout/branch];AF.28 [Fragrant plants/plants used in perfumery], brandy - AG.01.y.01.e [Brandy], cold brew concentrate - AG.01.ae.03 [Brewing], lentils - AG.01.h.02.g [Pulse], bird - AE.13 [Class Aves (birds)], blackberry mixture - AG.01.h.01.b [Berry], wings - AE.07.b [Body and limbs].", , , ,1.000,1.000,1.000
5_0, , , ,barbecue sauce,"AG.01.h
AG.01.l.04
AG.01.r.04
AG.01.t.08","AG.01.h
AG.01.l.04
AG.01.r.04
AG.01.t.08", , , 
5_1, , , ,curry paste,AG.01.n.01,"AG.01.l
AG.01.l.03
AG.01.n.01
AG.01.n.17", , , 
5_2, , , ,rosemary sprig,"AF.10.b
AF.28","AF.10.b
AF.28", , , 
5_3, , , ,brandy,AG.01.y.01.e,AG.01.y.01.e, , , 
5_4, , , ,cold brew concentrate,AG.01.ae.03,AG.01.ae.03, , , 
5_5, , , ,lentils,AG.01.h.02.g,AG.01.h.02.g, , , 
5_6, , , ,bird,AE.13,AE.13, , , 
5_7, , , ,blackberry mixture,AG.01.h.01.b,AG.01.h.01.b, , , 
5_8, , , ,wings,AE.07.b,AE.07.b, , , 
6,"Could you kindly provide links to the Hansard taxonomy for these entities outlined: crostini, mahi mahi, graham cracker crumbs, flaxseed meal, granola, ice cream cone, crumbles, butter, pistachios ?","Definitely, the entities are linked suitably:  crostini -  AG.01.n.11 [Bread];AG.01 [Food], mahi mahi -  AE.10 [Fish], graham cracker crumbs -  AG.01.k [Flour];AG.01.n.11 [Bread];AG.01.p [Amounts of food], flaxseed meal -  AG.01.j [Meal];AG.01.r [Meal], granola -  AG.01.n.10 [Grain dishes], ice cream cone -  AG.01.n.14 [Biscuit], crumbles -  AG.01.n.08 [Prepared fruit and dishes], butter -  AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food], pistachios -  AF.20.c [Edible nuts/nut-trees].","Absolutely, the entities are related accordingly: crostini - AG.01.n.11 [Bread], mahi mahi - AE.10 [Fish], graham cracker crumbs - AG.01.k [Flour];AG.01.n.11 [Bread];AG.01.p [Amounts of food], flaxseed meal - AG.01.j [Meal];AG.01.r [Meal], granola - AG.01.n.10 [Grain dishes], ice cream cone - AG.01.n.14 [Biscuit], crumbles - AG.01.n.08 [Prepared fruit and dishes], butter - AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food], pistachios - AF.20.c [Edible nuts/nut-trees].", , , ,0.929,0.929,0.929
6_0, , , ,crostini,"AG.01
AG.01.n.11",AG.01.n.11, , , 
6_1, , , ,mahi mahi,AE.10,AE.10, , , 
6_2, , , ,graham cracker crumbs,"AG.01.k
AG.01.n.11
AG.01.p","AG.01.k
AG.01.n.11
AG.01.p", , , 
6_3, , , ,flaxseed meal,"AG.01.j
AG.01.r","AG.01.j
AG.01.r", , , 
6_4, , , ,granola,AG.01.n.10,AG.01.n.10, , , 
6_5, , , ,ice cream cone,AG.01.n.14,AG.01.n.14, , , 
6_6, , , ,crumbles,AG.01.n.08,AG.01.n.08, , , 
6_7, , , ,butter,"AG.01.e.01
AG.01.n","AG.01.e.01
AG.01.n", , , 
6_8, , , ,pistachios,AF.20.c,AF.20.c, , , 
7,"Could you kindly provide links to the Hansard taxonomy for the outlined entities: rice, crunchy granola bars, thighs, custard, beef, capers, lamb, drink, yeast ?","Certainly, the entities are associated in this fashion:  rice -  AF.20.g [Cereal/corn/grain], crunchy granola bars -  AG.01.ak.01 [Drinking place];AG.01.n.10 [Grain dishes], thighs -  AE.07.b [Body and limbs];AF.10.l [Wood, other part of tree/woody plant], custard -  AG.01.n.15 [Pastry];AG.01.n.16 [Egg dishes], beef -  AG.01.d.03 [Beef], capers -  AE.14.j.04 [Habits and actions of horse];AF.13 [Particular tree/shrub], lamb -  AG.01.d.04 [Mutton], drink -  AG.01.ak [Drinking];AG.01.y [Drink];AG.01.y.01 [Intoxicating liquor], yeast -  AG.01.ae.03 [Brewing];AG.01.m [Substances for food preparation].","Absolutely, the entities are related in this manner: rice - AF.20.g [Cereal/corn/grain], crunchy granola bars - AG.01.ak.01 [Drinking place];AG.01.n.10 [Grain dishes], thighs - AE.07.b [Body and limbs];AF.10.l [Wood, other part of tree/woody plant], custard - AG.01.n.15 [Pastry];AG.01.n.16 [Egg dishes], beef - AG.01.d.03 [Beef], capers - AE.14.j.04 [Habits and actions of horse];AF.13 [Particular tree/shrub], lamb - AG.01.d.04 [Mutton], drink - AG.01.ak [Drinking];AG.01.y [Drink];AG.01.y.01 [Intoxicating liquor], yeast - AG.01.ae.03 [Brewing];AG.01.m [Substances for food preparation].", , , ,1.000,1.000,1.000
7_0, , , ,rice,AF.20.g,AF.20.g, , , 
7_1, , , ,crunchy granola bars,"AG.01.ak.01
AG.01.n.10","AG.01.ak.01
AG.01.n.10", , , 
7_2, , , ,thighs,"AE.07.b
AF.10.l","AE.07.b
AF.10.l", , , 
7_3, , , ,custard,"AG.01.n.15
AG.01.n.16","AG.01.n.15
AG.01.n.16", , , 
7_4, , , ,beef,AG.01.d.03,AG.01.d.03, , , 
7_5, , , ,capers,"AE.14.j.04
AF.13","AE.14.j.04
AF.13", , , 
7_6, , , ,lamb,AG.01.d.04,AG.01.d.04, , , 
7_7, , , ,drink,"AG.01.ak
AG.01.y
AG.01.y.01","AG.01.ak
AG.01.y
AG.01.y.01", , , 
7_8, , , ,yeast,"AG.01.ae.03
AG.01.m","AG.01.ae.03
AG.01.m", , , 
8,"Would you please share links to the Hansard taxonomy for these entities listed below: drink, chicken breasts, thighs, sausage, thick rosemary stem, membranes, pickle juice, flour, stem ?","Certainly, the entities are associated in the following way:  drink -  AG.01.ak [Drinking];AG.01.y [Drink];AG.01.y.01 [Intoxicating liquor], chicken breasts -  AG.01.d.02 [Part/joint of animal];AG.01.d.06 [Fowls], thighs -  AE.07.b [Body and limbs];AF.10.l [Wood, other part of tree/woody plant], sausage -  AG.01.n.05 [Sausage], thick rosemary stem -  AF.10.a [Stem/stalk];AF.28 [Fragrant plants/plants used in perfumery], membranes -  AF.10.k [Cell/aggregate tissue], pickle juice -  AG.01.t.06 [Preserving/pickling], flour -  AG.01.j [Meal];AG.01.k [Flour], stem -  AF.10.a [Stem/stalk].","Certainly, the entities are associated in this manner: drink - AG.01.ak [Drinking];AG.01.y [Drink];AG.01.y.01 [Intoxicating liquor], chicken breasts - AE.07.b [Body and limbs];AE.13.h.01 [Genus Gallus (domestic fowl)], thighs - AE.07.b [Body and limbs], sausage - AG.01.n.05 [Sausage], thick rosemary stem - AF.10.a [Stem/stalk];AF.28 [Fragrant plants/plants used in perfumery], membranes - AF.10.k [Cell/aggregate tissue], pickle juice - AG.01.ae.01 [Fruit and vegetable juices/squash];AG.01.l [Additive];AG.01.t.05 [Preparation for table/cooking], flour - AG.01.j [Meal];AG.01.k [Flour], stem - AF.10.a [Stem/stalk].", , , ,0.700,0.733,0.711
8_0, , , ,drink,"AG.01.ak
AG.01.y
AG.01.y.01","AG.01.ak
AG.01.y
AG.01.y.01", , , 
8_1, , , ,chicken breasts,"AG.01.d.02
AG.01.d.06","AE.07.b
AE.13.h.01", , , 
8_2, , , ,thighs,"AE.07.b
AF.10.l",AE.07.b, , , 
8_3, , , ,sausage,AG.01.n.05,AG.01.n.05, , , 
8_4, , , ,thick rosemary stem,"AF.10.a
AF.28","AF.10.a
AF.28", , , 
8_5, , , ,membranes,AF.10.k,AF.10.k, , , 
8_6, , , ,pickle juice,AG.01.t.06,"AG.01.ae.01
AG.01.l
AG.01.t.05", , , 
8_7, , , ,flour,"AG.01.j
AG.01.k","AG.01.j
AG.01.k", , , 
8_8, , , ,stem,AF.10.a,AF.10.a, , , 
9,"Could you link these entities to the Hansard taxonomy: shell, olive ball, soda, pistachios, baking powder, oil, beurre blanc, cooked vegetables, olive ?","Indeed, the entities are connected appropriately:  shell -  AE.07.d [Covering/skin];AE.12.b [Order Chelonia (turtles, tortoises)], olive ball -  AE.13 [Class Aves (birds)], soda -  AG.01.aa [Aerated/carbonated drink];AG.01.m [Substances for food preparation], pistachios -  AF.20.c [Edible nuts/nut-trees], baking powder -  AG.01 [Food], oil -  AG.01.f [Fat/oil], beurre blanc -  AG.01.h.01.d [Pear];AG.01.l.04 [Sauce/dressing];AG.01.m [Substances for food preparation], cooked vegetables -  AG.01.t.07 [Cooking], olive -  AE.08.i [Class Insecta (insects)];AF.20 [Particular food plant/product].","Absolutely, the entities are related in this way: shell - AE.07.d [Covering/skin];AE.12.b [Order Chelonia (turtles, tortoises)], olive ball - AE.13 [Class Aves (birds)], soda - AG.01.aa [Aerated/carbonated drink];AG.01.m [Substances for food preparation], pistachios - AF.20.c [Edible nuts/nut-trees], baking powder - AG.01 [Food], oil - AG.01.f [Fat/oil], beurre blanc - AG.01.h.01.d [Pear];AG.01.l.04 [Sauce/dressing];AG.01.m [Substances for food preparation], cooked vegetables - AF.02.a [Food plant/vegetable], olive - AE.08.i [Class Insecta (insects)];AF.20 [Particular food plant/product].", , , ,0.929,0.929,0.929
9_0, , , ,shell,"AE.07.d
AE.12.b","AE.07.d
AE.12.b", , , 
9_1, , , ,olive ball,AE.13,AE.13, , , 
9_2, , , ,soda,"AG.01.aa
AG.01.m","AG.01.aa
AG.01.m", , , 
9_3, , , ,pistachios,AF.20.c,AF.20.c, , , 
9_4, , , ,baking powder,AG.01,AG.01, , , 
9_5, , , ,oil,AG.01.f,AG.01.f, , , 
9_6, , , ,beurre blanc,"AG.01.h.01.d
AG.01.l.04
AG.01.m","AG.01.h.01.d
AG.01.l.04
AG.01.m", , , 
9_7, , , ,cooked vegetables,AG.01.t.07,AF.02.a, , , 
9_8, , , ,olive,"AE.08.i
AF.20","AE.08.i
AF.20", , , 
10,"Would you please share links to the Hansard taxonomy for these entities listed: eggnog, eggs, rosemary, eggs, flowers, clams, garbanzo beans, peppermint extract, cauliflower piece ?","Absolutely, the entities are bonded as:  eggnog -  AG.01.g [Eggs];AG.01.y.01 [Intoxicating liquor];AG.01.y.01.b [Ale/beer], eggs -  AG.01.g [Eggs], rosemary -  AF.28 [Fragrant plants/plants used in perfumery], eggs -  AG.01.g [Eggs], flowers -  AF.03 [Valued plants and weeds];AF.10.g [Flower/part containing reproductive organs], clams -  AE.08 [Invertebrates], garbanzo beans -  AG.01.h.02.g [Pulse], peppermint extract -  AF.13.c [Non-British trees/shrubs];AF.21 [Particular medicinal/food plants/parts];AF.26 [Plant/nut/bean yielding oil], cauliflower piece -  AG.01.h.02.d [Cabbage/kale];AG.01.n.11 [Bread].","Certainly, the entities are associated in this fashion: eggnog - AG.01.g [Eggs];AG.01.y.01 [Intoxicating liquor];AG.01.y.01.b [Ale/beer], eggs - AG.01.g [Eggs], rosemary - AF.28 [Fragrant plants/plants used in perfumery], eggs - AG.01.g [Eggs], flowers - AF.03 [Valued plants and weeds];AF.10.g [Flower/part containing reproductive organs], clams - AE.08 [Invertebrates], garbanzo beans - AG.01.h.02.g [Pulse], peppermint extract - AF.13.c [Non-British trees/shrubs];AF.21 [Particular medicinal/food plants/parts];AF.26 [Plant/nut/bean yielding oil], cauliflower piece - AG.01.h.02.d [Cabbage/kale].", , , ,0.929,0.929,0.929
10_0, , , ,eggnog,"AG.01.g
AG.01.y.01
AG.01.y.01.b","AG.01.g
AG.01.y.01
AG.01.y.01.b", , , 
10_1, , , ,eggs,AG.01.g,AG.01.g, , , 
10_2, , , ,rosemary,AF.28,AF.28, , , 
10_3, , , ,flowers,"AF.03
AF.10.g","AF.03
AF.10.g", , , 
10_4, , , ,clams,AE.08,AE.08, , , 
10_5, , , ,garbanzo beans,AG.01.h.02.g,AG.01.h.02.g, , , 
10_6, , , ,peppermint extract,"AF.13.c
AF.21
AF.26","AF.13.c
AF.21
AF.26", , , 
10_7, , , ,cauliflower piece,"AG.01.h.02.d
AG.01.n.11",AG.01.h.02.d, , , 
